game_id,season,round,home_club_position,away_club_position,home_club_cum_goals,away_club_cum_goals,home_club_cum_concede,away_club_cum_concede,home_recent_result,away_recent_result,result
2350366,2013,1,5,18,0,0,0,0,0,0,1
2350361,2013,1,11,10,0,0,0,0,0,0,0
2350365,2013,1,14,7,0,0,0,0,0,0,-1
2350367,2013,1,1,20,0,0,0,0,0,0,1
2350359,2013,1,6,13,0,0,0,0,0,0,1
2350363,2013,1,15,8,0,0,0,0,0,0,-1
2350360,2013,1,16,3,0,0,0,0,0,0,-1
2350364,2013,1,19,2,0,0,0,0,0,0,-1
2331956,2013,1,4,17,0,0,0,0,0,0,1
2350362,2013,1,12,9,0,0,0,0,0,0,-1
2350368,2013,2,12,9,1,1,0,3,3,0,-1
2350375,2013,2,3,5,4,2,1,0,3,3,0
2350373,2013,2,8,1,3,1,1,0,3,3,-1
2331957,2013,2,11,7,0,4,2,0,0,3,1
2350369,2013,2,14,17,2,0,2,1,1,0,0
2350370,2013,2,13,15,0,2,2,2,0,1,1
2331955,2013,2,6,16,1,0,0,1,3,0,0
2350371,2013,2,18,4,0,2,4,0,0,3,0
2350374,2013,2,2,20,1,1,0,4,3,0,1
2350372,2013,2,10,19,0,0,1,1,0,0,1
2350378,2013,3,12,17,0,2,4,3,1,3,1
2350383,2013,3,1,7,2,4,0,1,6,4,1
2350384,2013,3,4,6,4,2,4,0,3,6,1
2350379,2013,3,9,10,2,2,3,1,1,4,1
2350380,2013,3,20,16,0,1,1,5,1,0,-1
2350382,2013,3,14,19,1,1,3,2,0,1,1
2350377,2013,3,3,18,6,1,3,2,3,3,1
2350376,2013,3,2,13,2,3,0,2,4,3,1
2331958,2013,3,11,15,3,2,4,2,3,2,0
2350381,2013,3,8,5,2,2,0,2,4,3,-1
2332010,2013,4,11,10,2,2,2,1,4,4,0
2332016,2013,4,5,18,4,4,2,4,4,3,1
2332022,2013,4,9,6,2,4,2,1,3,7,1
2332023,2013,4,16,12,1,3,4,4,3,4,0
2332020,2013,4,20,2,2,5,5,4,1,6,-1
2332031,2013,4,14,19,2,0,4,3,3,1,0
2332011,2013,4,13,1,3,3,5,0,3,9,0
2332030,2013,4,17,8,4,1,4,4,3,4,-1
2332012,2013,4,3,15,2,3,1,3,6,4,1
2332005,2013,4,7,4,3,8,2,3,6,6,0
2332000,2013,5,19,9,4,5,6,7,3,4,-1
2331992,2013,5,12,11,3,2,5,5,7,4,-1
2332019,2013,5,1,10,8,3,5,2,9,7,1
2331981,2013,5,14,6,2,3,1,2,5,6,-1
