,game_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,home_club_formation,away_club_formation,referee,home_value,away_value
238,2350366,2013,1,2013-08-18,631,3008,2,0,5.0,18.0,José Mourinho,Steve Bruce,4-2-3-1,4-3-3 Attacking,Jonathan Moss,54900000,5250000
437,2350361,2013,1,2013-08-17,1123,29,2,2,11.0,10.0,Chris Hughton,Roberto Martínez,4-2-3-1,4-2-3-1,Michael Oliver,1500000,7535000
953,2350365,2013,1,2013-08-18,873,148,0,1,14.0,7.0,Ian Holloway,André Villas-Boas,4-2-3-1,4-3-3 Defending,Mark Clattenburg,2725000,3100000
1339,2350367,2013,1,2013-08-19,281,762,4,0,1.0,20.0,Manuel Pellegrini,Alan Pardew,4-4-2 double 6,4-4-2 double 6,Andre Marriner,18200000,9750000
1529,2350359,2013,1,2013-08-17,31,512,1,0,6.0,13.0,Brendan Rodgers,Mark Hughes,4-2-3-1,4-5-1 flat,Martin Atkinson,21550000,7350000
1593,2350363,2013,1,2013-08-17,984,180,0,1,15.0,8.0,Steve Clarke,Mauricio Pochettino,4-4-2 double 6,4-4-2,Kevin Friend,6450000,5150000
2302,2350360,2013,1,2013-08-17,11,405,1,3,16.0,3.0,Arsène Wenger,Paul Lambert,4-2-3-1,4-3-3 Attacking,Anthony Taylor,5700000,4345000
2783,2350364,2013,1,2013-08-17,2288,985,1,4,19.0,2.0,Michael Laudrup,David Moyes,4-3-3 Defending,4-4-2,Phil Dowd,3425000,29850000
2997,2331956,2013,1,2013-08-17,379,603,2,0,4.0,17.0,Sam Allardyce,Malky Mackay,4-2-3-1,4-2-3-1,Howard Webb,9675000,4700000
3434,2350362,2013,1,2013-08-17,289,931,0,1,12.0,9.0,Paolo Di Canio,Martin Jol,4-2-3-1,4-4-1-1,Neil Swarbrick,5935000,12350000
1097,2332058,2013,10,2013-11-02,762,631,2,0,9.0,2.0,Alan Pardew,José Mourinho,4-4-2 double 6,4-2-3-1,Lee Mason,3600000,56300000
1099,2332076,2013,10,2013-11-02,984,873,2,0,11.0,20.0,Steve Clarke,Keith Millen,4-4-2 double 6,4-2-3-1,Neil Swarbrick,6500000,5050000
2011,2332082,2013,10,2013-11-02,379,405,0,0,15.0,14.0,Sam Allardyce,Paul Lambert,4-2-3-1,3-5-2 flat,Howard Webb,7775000,4145000
2014,2332123,2013,10,2013-11-02,281,1123,7,0,5.0,18.0,Manuel Pellegrini,Chris Hughton,4-4-2 double 6,4-4-1-1,Phil Dowd,12300000,1625000
2080,2332090,2013,10,2013-11-03,29,148,0,0,7.0,4.0,Roberto Martínez,André Villas-Boas,4-2-3-1,4-1-4-1,Kevin Friend,11610000,3500000
2443,2332098,2013,10,2013-11-02,11,31,2,0,1.0,3.0,Arsène Wenger,Brendan Rodgers,4-2-3-1,5-3-2,Martin Atkinson,12725000,17550000
3288,2332106,2013,10,2013-11-03,603,2288,1,0,12.0,13.0,Malky Mackay,Michael Laudrup,4-1-4-1,4-2-3-1,Mike Dean,5400000,6125000
3658,2332112,2013,10,2013-11-02,3008,289,1,0,10.0,19.0,Steve Bruce,Gustavo Poyet,4-5-1 flat,4-4-2 double 6,Andre Marriner,5000000,4875000
3663,2332099,2013,10,2013-11-02,931,985,1,3,16.0,8.0,Martin Jol,David Moyes,4-2-3-1,4-2-3-1,Lee Probert,15825000,51350000
3736,2332078,2013,10,2013-11-02,512,180,1,1,17.0,6.0,Mark Hughes,Mauricio Pochettino,4-2-3-1,4-2-3-1,Chris Foy,6400000,5450000
658,2332085,2013,11,2013-11-09,1123,379,3,1,15.0,16.0,Chris Hughton,Sam Allardyce,4-2-3-1,4-2-3-1,Jonathan Moss,4575000,10550000
934,2332068,2013,11,2013-11-09,873,29,0,0,20.0,6.0,Keith Millen,Roberto Martínez,4-5-1 flat,4-2-3-1,Craig Pawson,4800000,11610000
1101,2332091,2013,11,2013-11-09,180,3008,4,1,3.0,12.0,Mauricio Pochettino,Steve Bruce,4-2-3-1,5-4-1,Martin Atkinson,5450000,5000000
2079,2332087,2013,11,2013-11-09,405,603,2,0,11.0,14.0,Paul Lambert,Malky Mackay,4-3-1-2,4-1-4-1,Martin Atkinson,4495000,5400000
2241,2332067,2013,11,2013-11-09,631,984,2,2,4.0,10.0,José Mourinho,Steve Clarke,4-2-3-1,4-4-1-1,Andre Marriner,48700000,9350000
2242,2332079,2013,11,2013-11-10,289,281,1,0,19.0,8.0,Gustavo Poyet,Manuel Pellegrini,4-1-4-1,4-4-1-1,Mike Dean,3760000,13750000
2698,2332084,2013,11,2013-11-10,985,11,1,0,5.0,1.0,David Moyes,Arsène Wenger,4-2-3-1,4-2-3-1,Michael Oliver,58900000,11475000
3010,2332095,2013,11,2013-11-10,148,762,0,1,7.0,9.0,André Villas-Boas,Alan Pardew,4-3-3 Defending,4-4-2 double 6,Chris Foy,4300000,3600000
3194,2332083,2013,11,2013-11-09,31,931,4,0,2.0,18.0,Brendan Rodgers,Martin Jol,4-4-2 double 6,4-2-3-1,Mike Jones,16750000,14875000
3792,2332092,2013,11,2013-11-10,2288,512,3,3,13.0,17.0,Michael Laudrup,Mark Hughes,4-3-3 Defending,4-2-3-1,Bobby Madley,7250000,6850000
84,2332070,2013,12,2013-11-24,281,148,6,0,4.0,9.0,Manuel Pellegrini,André Villas-Boas,4-2-3-1,4-3-3 Defending,Howard Webb,11550000,3400000
720,2332049,2013,12,2013-11-23,3008,873,0,1,13.0,19.0,Steve Bruce,Keith Millen,4-4-1-1,4-3-3 Defending,Anthony Taylor,5300000,4650000
884,2332059,2013,12,2013-11-23,29,31,3,3,7.0,2.0,Roberto Martínez,Brendan Rodgers,4-2-3-1,4-2-3-1,Phil Dowd,11410000,16325000
1098,2332060,2013,12,2013-11-23,379,631,0,3,17.0,3.0,Sam Allardyce,José Mourinho,4-4-2,4-3-3 Attacking,Chris Foy,9400000,54200000
1679,2332093,2013,12,2013-11-24,603,985,2,2,15.0,6.0,Malky Mackay,David Moyes,4-2-3-1,4-2-3-1,Neil Swarbrick,3650000,46400000
2009,2332069,2013,12,2013-11-23,931,2288,1,2,18.0,10.0,Martin Jol,Michael Laudrup,4-3-2-1,4-3-3 Defending,Andre Marriner,17700000,6175000
2442,2332086,2013,12,2013-11-23,11,180,2,0,1.0,5.0,Arsène Wenger,Mauricio Pochettino,4-2-3-1,4-2-3-1,Mark Clattenburg,10825000,4950000
2697,2332051,2013,12,2013-11-23,762,1123,2,1,8.0,16.0,Alan Pardew,Chris Hughton,4-4-2 double 6,4-1-4-1,Mike Dean,9350000,1425000
3192,2332052,2013,12,2013-11-25,984,405,2,2,11.0,12.0,Steve Clarke,Paul Lambert,4-4-1-1,4-3-1-2,Michael Oliver,8700000,4495000
3688,2332064,2013,12,2013-11-23,512,289,2,0,14.0,20.0,Mark Hughes,Gustavo Poyet,4-2-3-1,4-1-4-1,Kevin Friend,6400000,3760000
2,2332053,2013,13,2013-11-30,379,931,3,0,15.0,18.0,Sam Allardyce,Martin Jol,4-2-3-1,4-4-1-1,Martin Atkinson,6850000,13125000
56,2332074,2013,13,2013-11-30,1123,873,1,0,14.0,20.0,Chris Hughton,Tony Pulis,4-4-2 double 6,4-3-3 Defending,Chris Foy,4975000,7450000
657,2332061,2013,13,2013-12-01,631,180,3,1,2.0,7.0,José Mourinho,Mauricio Pochettino,4-2-3-1,4-2-3-1,Michael Oliver,53750000,4525000
721,2332073,2013,13,2013-12-01,281,2288,3,0,3.0,13.0,Manuel Pellegrini,Michael Laudrup,4-4-2 double 6,4-3-3 Defending,Mark Clattenburg,12350000,5000000
1334,2332071,2013,13,2013-11-30,405,289,0,0,11.0,19.0,Paul Lambert,Gustavo Poyet,4-3-3 Attacking,4-3-3 Attacking,Neil Swarbrick,4370000,3800000
1544,2332062,2013,13,2013-11-30,29,512,4,0,5.0,16.0,Roberto Martínez,Mark Hughes,4-2-3-1,4-2-3-1,Mike Jones,12310000,6300000
2010,2332072,2013,13,2013-12-01,3008,31,3,1,10.0,4.0,Steve Bruce,Brendan Rodgers,3-5-2 flat,4-3-3 Defending,Howard Webb,5275000,22625000
2543,2332039,2013,13,2013-12-01,148,985,2,2,9.0,8.0,André Villas-Boas,David Moyes,4-3-3 Defending,4-2-3-1,Mike Dean,3100000,48100000
2923,2332066,2013,13,2013-11-30,762,984,2,1,6.0,12.0,Alan Pardew,Steve Clarke,4-4-2,4-4-1-1,Phil Dowd,9500000,6500000
3276,2332065,2013,13,2013-11-30,603,11,0,3,17.0,1.0,Malky Mackay,Arsène Wenger,4-1-4-1,4-2-3-1,Lee Mason,2800000,10825000
1,2332050,2013,14,2013-12-04,289,631,3,4,20.0,2.0,Gustavo Poyet,José Mourinho,4-1-4-1,4-2-3-1,Phil Dowd,5325000,52800000
55,2332041,2013,14,2013-12-04,180,405,2,3,8.0,10.0,Mauricio Pochettino,Paul Lambert,4-2-3-1,5-3-2,Jonathan Moss,6650000,4195000
1333,2332054,2013,14,2013-12-04,984,281,2,3,13.0,3.0,Steve Clarke,Manuel Pellegrini,4-2-3-1,4-4-2 double 6,Chris Foy,9000000,20100000
1386,2332042,2013,14,2013-12-03,873,379,1,0,19.0,17.0,Tony Pulis,Sam Allardyce,4-4-2 double 6,4-2-3-1,Lee Mason,7450000,9300000
1582,2332032,2013,14,2013-12-04,31,1123,5,1,4.0,16.0,Brendan Rodgers,Chris Hughton,4-2-3-1,4-1-4-1,Anthony Taylor,17075000,5250000
1892,2332045,2013,14,2013-12-04,931,148,1,2,18.0,6.0,René Meulensteen,André Villas-Boas,4-2-3-1,4-3-3 Defending,Mark Clattenburg,18850000,8650000
2696,2332043,2013,14,2013-12-04,985,29,0,1,9.0,5.0,David Moyes,Roberto Martínez,4-2-3-1,4-2-3-1,Martin Atkinson,48725000,11460000
3190,2332040,2013,14,2013-12-04,11,3008,2,0,1.0,12.0,Arsène Wenger,Steve Bruce,4-2-3-1,3-5-2 flat,Andre Marriner,7775000,1875000
3191,2332044,2013,14,2013-12-04,2288,762,3,0,11.0,7.0,Michael Laudrup,Alan Pardew,4-3-3 Defending,4-4-2 double 6,Howard Webb,5250000,9500000
3782,2332063,2013,14,2013-12-04,512,603,0,0,14.0,15.0,Mark Hughes,Malky Mackay,4-2-3-1,4-2-3-1,Michael Oliver,4400000,2700000
427,2332024,2013,15,2013-12-07,985,762,0,1,9.0,7.0,David Moyes,Alan Pardew,4-2-3-1,4-1-4-1,Andre Marriner,20775000,8250000
1157,2332046,2013,15,2013-12-08,11,29,1,1,1.0,5.0,Arsène Wenger,Roberto Martínez,4-2-3-1,4-2-3-1,Howard Webb,9875000,11460000
2008,2332035,2013,15,2013-12-07,984,1123,0,2,15.0,14.0,Steve Clarke,Chris Hughton,4-4-1-1,4-4-2,Mark Clattenburg,8150000,5075000
