,season,round,home_club_position,away_club_position,home_club_cum_goals,away_club_cum_goals,home_club_cum_concede,away_club_cum_concede,home_recent_result,away_recent_result,result,multinomial_result,knn_result,tree_result
0,2013,2,12,9,1,1,0,3,3,0,-1,-1,-1,-1
1,2013,2,3,5,4,2,1,0,3,3,0,1,1,1
2,2013,2,8,1,3,1,1,0,3,3,-1,-1,-1,-1
3,2013,2,11,7,0,4,2,0,0,3,1,1,-1,1
4,2013,2,14,17,2,0,2,1,1,0,0,1,1,1
5,2013,2,13,15,0,2,2,2,0,1,1,1,1,1
6,2013,2,6,16,1,0,0,1,3,0,0,1,1,1
7,2013,2,18,4,0,2,4,0,0,3,0,-1,-1,-1
8,2013,2,2,20,1,1,0,4,3,0,1,1,1,1
9,2013,2,10,19,0,0,1,1,0,0,1,1,1,1
10,2013,3,12,17,0,2,4,3,1,3,1,1,1,1
11,2013,3,1,7,2,4,0,1,6,4,1,1,1,1
12,2013,3,4,6,4,2,4,0,3,6,1,1,1,1
13,2013,3,9,10,2,2,3,1,1,4,1,1,1,1
14,2013,3,20,16,0,1,1,5,1,0,-1,-1,0,1
15,2013,3,14,19,1,1,3,2,0,1,1,1,1,1
16,2013,3,3,18,6,1,3,2,3,3,1,1,1,1
17,2013,3,2,13,2,3,0,2,4,3,1,1,1,1
18,2013,3,11,15,3,2,4,2,3,2,0,1,1,1
19,2013,3,8,5,2,2,0,2,4,3,-1,-1,-1,-1
20,2013,4,11,10,2,2,2,1,4,4,0,-1,-1,-1
21,2013,4,5,18,4,4,2,4,4,3,1,1,1,1
22,2013,4,9,6,2,4,2,1,3,7,1,1,0,-1
23,2013,4,16,12,1,3,4,4,3,4,0,-1,-1,1
24,2013,4,20,2,2,5,5,4,1,6,-1,-1,-1,-1
25,2013,4,14,19,2,0,4,3,3,1,0,1,1,1
26,2013,4,13,1,3,3,5,0,3,9,0,-1,0,-1
27,2013,4,17,8,4,1,4,4,3,4,-1,-1,-1,1
28,2013,4,3,15,2,3,1,3,6,4,1,1,1,1
29,2013,4,7,4,3,8,2,3,6,6,0,-1,-1,-1
